context,triplets,subject,object,relation
"The sound of thunder
alerts
us to seek shelter",<triplet> The sound of thunder <subj> us to seek shelter <obj> enable,The sound of thunder,us to seek shelter,enable
"If the weather is good
is enabling
you to have a picnic in the park",<triplet> If the weather is good <subj> you to have a picnic in the park <obj> enable,If the weather is good,you to have a picnic in the park,enable
"When the car engine
is started
it produces exhaust fumes.",<triplet> When the car engine <subj> it produces exhaust fumes. <obj> enable,When the car engine,it produces exhaust fumes.,enable
This you can write a letter. This  allows   writing a letter on the computer,<triplet> This you can write a letter. <subj>  writing a letter on the computer <obj> enable,This you can write a letter.,writing a letter on the computer,enable
"The lock is functioning properly
allowing
the door to open easily.",<triplet> The lock is functioning properly <subj> the door to open easily. <obj> enable,The lock is functioning properly,the door to open easily.,enable
"When the weather
is clear,
we can go hiking.",<triplet> When the weather <subj> we can go hiking. <obj> enable,When the weather,we can go hiking.,enable
"If you have
have
you can open the door.",<triplet> If you have <subj> you can open the door. <obj> enable,If you have,you can open the door.,enable
"The music couldn't be heard
until
the volume was turned up",<triplet> The music couldnt be heard <subj> the volume was turned up <obj> enable,The music couldnt be heard,the volume was turned up,enable
"A firework display will be
enjoyable
if the weather is favorable and the sky is clear.",<triplet> A firework display will be <subj> if the weather is favorable and the sky is clear. <obj> enable,A firework display will be,if the weather is favorable and the sky is clear.,enable
"The light switch
being turned on
enables the room to be illuminated",<triplet> The light switch <subj> enables the room to be illuminated <obj> enable,The light switch,enables the room to be illuminated,enable
"make sure that they are washed thoroughly with cold water
and then,
dry them completely before adding them to your salad",<triplet> make sure that they are washed thoroughly with cold water <subj> dry them completely before adding them to your salad <obj> enable,make sure that they are washed thoroughly with cold water,dry them completely before adding them to your salad,enable
"The internet connection is strong
enabling
we can stream our favorite shows and movies uninterrupted.",<triplet> The internet connection is strong <subj> we can stream our favorite shows and movies uninterrupted. <obj> enable,The internet connection is strong,we can stream our favorite shows and movies uninterrupted.,enable
"If you have a bike
you can
ride it to school or work instead of driving or taking public transportation",<triplet> If you have a bike <subj> ride it to school or work instead of driving or taking public transportation <obj> enable,If you have a bike,ride it to school or work instead of driving or taking public transportation,enable
is When the traffic light turns green is  enabling   you to cross the street,<triplet> is When the traffic light turns green <subj>  you to cross the street <obj> enable,is When the traffic light turns green,you to cross the street,enable
Possessing the required tools (helps) effective and quick home renovations.,<triplet> Possessing the required tools <subj> effective and quick home renovations. <obj> enable,Possessing the required tools,effective and quick home renovations.,enable
"When the air conditioning
is turned on
enables the room",<triplet> When the air conditioning <subj> enables the room <obj> enable,When the air conditioning,enables the room,enable
"The plane has reached cruising altitude.
When
You can relax and enjoy your flight.",<triplet> The plane has reached cruising altitude. <subj> You can relax and enjoy your flight. <obj> enable,The plane has reached cruising altitude.,You can relax and enjoy your flight.,enable
"As long as you have
a valid driver's license
you can drive your car legally.",<triplet> As long as you have <subj> you can drive your car legally. <obj> enable,As long as you have,you can drive your car legally.,enable
"If you have a good sense of direction
you can
navigate through unfamiliar streets with ease.",<triplet> If you have a good sense of direction <subj> navigate through unfamiliar streets with ease. <obj> enable,If you have a good sense of direction,navigate through unfamiliar streets with ease.,enable
"The water was boiling
and
the whistle alerted me when it reached its boiling point",<triplet> The water was boiling <subj> the whistle alerted me when it reached its boiling point <obj> enable,The water was boiling,the whistle alerted me when it reached its boiling point,enable
 The light switches' ease of use   allows  for efficient management of lighting in a room,<triplet>  The light switches ease of use <subj>  efficient management of lighting in a room <obj> enable,The light switches ease of use,efficient management of lighting in a room,enable
is If you have a garen hose is  enabling   you to water the plants in your yar.,<triplet> is If you have a garen hose <subj>  you to water the plants in your yar. <obj> enable,is If you have a garen hose,you to water the plants in your yar.,enable
"When the light switch
is turned
the room becomes bright",<triplet> When the light switch <subj> the room becomes bright <obj> enable,When the light switch,the room becomes bright,enable
"Pouring water into the pot
as soon as
It will start boiling.",<triplet> Pouring water into the pot <subj> It will start boiling. <obj> enable,Pouring water into the pot,It will start boiling.,enable
"If the computer
is connected to the internet,
it allows you to",<triplet> If the computer <subj> it allows you to <obj> enable,If the computer,it allows you to,enable
"When the water
is boiling in the pot,
it's possible to add pasta to the water.",<triplet> When the water <subj> its possible to add pasta to the water. <obj> enable,When the water,its possible to add pasta to the water.,enable
"The lock is picked successfully.
If
you can gain entry without using a key.",<triplet> The lock is picked successfully. <subj> you can gain entry without using a key. <obj> enable,The lock is picked successfully.,you can gain entry without using a key.,enable
"Battery being fully charged
If
Phone being able to be used for a longer time",<triplet> Battery being fully charged <subj> Phone being able to be used for a longer time <obj> enable,Battery being fully charged,Phone being able to be used for a longer time,enable
"The train is on time
ensuring that
we arrive at our destination without delay",<triplet> The train is on time <subj> we arrive at our destination without delay <obj> enable,The train is on time,we arrive at our destination without delay,enable
"The light bulb burned out.
replacing it with a new one
restored illumination to the room.",<triplet> The light bulb burned out. <subj> restored illumination to the room. <obj> enable,The light bulb burned out.,restored illumination to the room.,enable
"When the teacher's lesson plan
is well-designed
enables students",<triplet> When the teachers lesson plan <subj> enables students <obj> enable,When the teachers lesson plan,enables students,enable
